user_id,seed_title_id,cand_title_id,semantic_score,log_popularity,same_year,genre_overlap_seed,genre_overlap_user,in_user_wishlist,label
70b11c84-9429-4066-8cf2-148d83744846,7182,6880,0.5252359509468079,0.0,0,1,4,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,10763,0.5233529806137085,0.0,0,0,0,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,10920,0.48157376050949097,0.0,0,0,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,11052,0.4491454064846039,0.0,0,1,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,10318,0.44167959690093994,0.0,0,1,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,7954,0.43400001525878906,0.0,0,0,2,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,10069,0.41966482996940613,0.0,0,1,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,10636,0.4136737585067749,0.0,0,0,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,7182,0.4094453454017639,1.791759469228055,1,4,4,1,1
70b11c84-9429-4066-8cf2-148d83744846,7182,11016,0.4081997871398926,0.0,1,0,0,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,8137,0.40281933546066284,0.0,0,1,3,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,10309,0.4005376696586609,0.0,0,0,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,7931,0.39680278301239014,0.0,0,1,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,7943,0.3950020670890808,0.0,0,0,2,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,10974,0.3807523250579834,0.0,0,0,0,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,8908,0.37671512365341187,0.0,0,0,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,9993,0.37514039874076843,0.0,0,0,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,7325,0.37482696771621704,0.0,0,0,2,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,9166,0.3718021512031555,0.0,0,0,0,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,9229,0.3713054955005646,0.0,0,0,2,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,9982,0.3711113929748535,0.0,0,1,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,10719,0.3706806004047394,0.0,0,0,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,8649,0.3694645166397095,0.0,0,1,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,10693,0.367372065782547,0.0,0,0,0,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,9814,0.36616846919059753,0.0,0,0,1,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,6743,0.36585602164268494,0.0,0,1,2,0,0
70b11c84-9429-4066-8cf2-148d83744846,7182,7590,0.36339789628982544,0.0,0,1,4,0,0
